type, test, size, time
hashtable, growing, 50,1684.7820785214785
hashtable, growing, 500,1535.8465058941058
hashtable, growing, 1000,1564.6305625374625
hashtable, growing, 2000,1516.2177837162837
hashtable, growing, 5000,1533.5560095904095
hashtable, growing, 10000,1468.7499608391608
list, growing, 50,3148.019183116883
list, growing, 500,3137.948426073926
list, growing, 1000,3028.1542563436565
list, growing, 2000,3371.3763235764236
list, growing, 5000,3052.2510984015985
list, growing, 10000,3212.331922677323
tst, growing, 50,10061.01078051948
tst, growing, 500,10447.26841988012
tst, growing, 1000,11076.54888941059
tst, growing, 2000,13121.661163036963
tst, growing, 5000,14205.32994965035
tst, growing, 10000,14513.949283016984
hashtable, shrinking, 50,
hashtable, shrinking, 500,
hashtable, shrinking, 1000,
hashtable, shrinking, 2000,
hashtable, shrinking, 5000,
hashtable, shrinking, 10000,
list, shrinking, 50,
list, shrinking, 500,
list, shrinking, 1000,
list, shrinking, 2000,
list, shrinking, 5000,
list, shrinking, 10000,
tst, shrinking, 50,
tst, shrinking, 500,
tst, shrinking, 1000,
tst, shrinking, 2000,
tst, shrinking, 5000,
tst, shrinking, 10000,
hashtable, static, 50,
hashtable, static, 500,
hashtable, static, 1000,
hashtable, static, 2000,
hashtable, static, 5000,
hashtable, static, 10000,
list, static, 50,
list, static, 500,
list, static, 1000,
list, static, 2000,
list, static, 5000,
list, static, 10000,
tst, static, 50,
tst, static, 500,
tst, static, 1000,
tst, static, 2000,
tst, static, 5000,
tst, static, 10000,
